City_ID,Cities,Country,Date,Max Temp,Lat,Lng,Humidity,Wind Speed,Cloudiness
347,flinders,AU,5/22/20,55,-34.58,150.86,74,8.99,100
348,toshkivka,UA,5/22/20,56.86,48.78,38.58,54,6.08,99
349,harindanga,IN,5/22/20,84.24,22.04,88.32,83,13.62,0
350,innisfail,AU,5/22/20,68.43,-17.53,146.03,94,8.23,100
351,saint-joseph,RE,5/22/20,75.2,-21.37,55.62,73,27.51,20
352,magrath,CA,5/22/20,46.99,49.42,-112.87,65,14.99,90
353,half moon bay,US,5/22/20,55.99,37.46,-122.43,76,11.41,75
354,laguna,US,5/22/20,59,38.42,-121.42,72,3,18
355,bani,DO,5/22/20,87.01,18.28,-70.33,74,9.62,40
356,norman wells,CA,5/22/20,50,65.28,-126.83,57,5.82,75
357,novoilinsk,RU,5/22/20,46.67,51.68,108.71,72,2.35,10
358,pokhara,NP,5/22/20,77.13,28.23,83.98,55,3.49,82
359,isangel,VU,5/22/20,68.94,-19.55,169.27,70,6.15,95
360,sisimiut,GL,5/22/20,46.27,66.94,-53.67,54,9.82,38
361,lindenberg,DE,5/22/20,79,49.38,8.1,50,6.13,100
362,barra do garcas,BR,5/22/20,82.4,-15.89,-52.26,61,7.09,0
363,soubre,CI,5/22/20,85.41,5.79,-6.61,70,2.75,90
364,plouzane,FR,5/22/20,62.6,48.38,-4.62,59,16.11,75
365,kirksville,US,5/22/20,63,40.19,-92.58,88,8.05,90
366,ritchie,ZA,5/22/20,75.2,-29.04,24.6,24,5.82,0
367,ketchikan,US,5/22/20,51.8,55.34,-131.65,81,11.41,90
368,rongcheng,CN,5/22/20,69.3,30.63,117.85,84,3.04,22
369,humboldt,US,5/22/20,50,40.67,-123.92,87,4.7,75
370,seoul,KR,5/22/20,64.4,37.57,126.98,82,9.17,75
371,bhola,BD,5/22/20,84.13,22.68,90.65,82,13.31,8
372,imbituba,BR,5/22/20,73.4,-28.24,-48.67,94,8.05,40
373,richards bay,ZA,5/22/20,69.33,-28.78,32.04,64,4.07,0
374,grand gaube,MU,5/22/20,75,-20.01,57.66,69,10,11
375,ponta delgada,PT,5/22/20,60.8,37.73,-25.67,93,11.41,75
